BF_replication,BF_uniform,BF_BUJ,True_prob,data_length_at_stop_BF
8.20E-41,1.31E-39,3.58E-40,0.539910036,30060
1.27E-30,5.62E-29,1.98E-29,0.536159397,30060
2.54E-14,4.64E-13,1.16E-13,0.525217138,30060
7.68E-34,1.54E-32,3.86E-33,0.535955188,30060
1.671002214,2.680691989,0.914408869,0.508338695,100080
5.71E-09,5.73E-08,1.97E-08,0.520783945,30060
1.13E-06,9.75E-06,3.22E-06,0.514742237,30060
6.69E-12,1.42E-10,2.76E-11,0.524374255,30060
0.000152693,0.001080575,0.000339259,0.516001224,30060
5.98E-21,9.12E-20,3.17E-20,0.528136578,30060
4.56E-24,7.32E-23,2.47E-23,0.529059004,30060
4.22E-22,6.49E-21,2.26E-21,0.529663613,30060
1.31E-49,1.42E-48,4.41E-49,0.543342264,30060
9.49E-11,1.51E-09,3.68E-10,0.525332663,30060
3.70E-29,1.80E-27,6.29E-28,0.536862491,30060
6.54E-14,1.30E-12,2.94E-13,0.520409012,30060
4.78E-75,1.51E-74,5.53E-75,0.55176261,30060
1.66E-08,1.58E-07,5.53E-08,0.520535026,30060
3.13E-43,4.33E-42,1.28E-42,0.539607254,30060
2.69E-25,5.79E-24,1.46E-24,0.536928044,30060
2.36E-28,1.06E-26,3.68E-27,0.533144114,30060
3.58E-17,5.14E-16,1.78E-16,0.528749107,30060
1.29E-09,1.44E-08,4.65E-09,0.520025998,30060
0.000296898,0.001771073,0.000487218,0.511991861,45612
2.48E-29,1.21E-27,4.24E-28,0.529958117,30060
3.64E-20,5.49E-19,1.91E-19,0.529629851,30060
4.63E-39,7.26E-38,2.11E-38,0.536344931,30060
5.65E-30,2.71E-28,9.51E-29,0.53469187,30060
9.21E-18,1.34E-16,4.64E-17,0.523907052,30060
6.23E-40,1.00E-38,2.78E-39,0.539837952,30060
7.54E-65,6.68E-64,1.40E-64,0.545874326,30060
2.13E-31,8.08E-30,1.11E-30,0.534898402,30060
2.78E-16,3.95E-15,1.35E-15,0.523426873,30060
2.15E-39,3.41E-38,9.69E-39,0.535884276,30060
1.98E-44,2.41E-43,7.85E-44,0.540418593,30060
1.55E-49,1.66E-48,5.25E-49,0.537272031,30060
4.08E-36,5.40E-35,1.97E-35,0.537337095,30060
7.22E-23,1.18E-21,3.89E-22,0.526206077,30060
3.93E-38,5.88E-37,1.82E-37,0.536954769,30060
1.67E-16,2.36E-15,8.17E-16,0.527212179,30060
7.36E-36,1.01E-34,3.58E-35,0.53135839,30060
1.10E-19,1.66E-18,5.76E-19,0.522822564,30060
7.36E-36,1.01E-34,3.58E-35,0.534677031,30060
5.74E-51,7.84E-50,1.85E-50,0.540423293,30060
